<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20190514;190000;186.9400000;190.9000000;186.9400000;189.6700000;34420480
GAZP;60;20190515;110000;193.0300000;196.4900000;192.2900000;195.7800000;37641270
GAZP;60;20190515;120000;195.7800000;197.6000000;195.5700000;197.2100000;18733630
GAZP;60;20190515;130000;197.2100000;198.4000000;194.8600000;195.1700000;24027040
GAZP;60;20190515;140000;195.1700000;197.2200000;194.4300000;194.6300000;15223870
GAZP;60;20190515;150000;194.6400000;195.1700000;192.7000000;194.5900000;9638870
GAZP;60;20190515;160000;194.5900000;195.7400000;194.1500000;194.7300000;6713510
GAZP;60;20190515;170000;194.6900000;196.4900000;194.2100000;195.3300000;7338430
GAZP;60;20190515;180000;195.3300000;196.1400000;194.4000000;195.0000000;6798610
GAZP;60;20190515;190000;194.9900000;196.5000000;194.0700000;195.6100000;8926800
GAZP;60;20190516;110000;194.6100000;198.6800000;194.2400000;198.5000000;16765810
GAZP;60;20190516;120000;198.4900000;199.9400000;198.0000000;198.7200000;13136560
GAZP;60;20190516;130000;198.7200000;199.8000000;197.0400000;198.0800000;16453390
GAZP;60;20190516;140000;198.0200000;199.4300000;197.9000000;199.1600000;4625630
GAZP;60;20190516;150000;199.1600000;199.3800000;198.5500000;199.2900000;2688370
GAZP;60;20190516;160000;199.2900000;199.8000000;198.8200000;199.6100000;4257840
GAZP;60;20190516;170000;199.5300000;199.9000000;199.1500000;199.8400000;5593680
GAZP;60;20190516;180000;199.8400000;202.9900000;199.3500000;201.5700000;21410470
GAZP;60;20190516;190000;201.5400000;203.4500000;200.5500000;202.7000000;15008090
GAZP;60;20190517;110000;201.8100000;202.3000000;198.5000000;198.8800000;14866840
GAZP;60;20190517;120000;198.8600000;199.8100000;197.7100000;198.9100000;9712330
GAZP;60;20190517;130000;198.9400000;199.3300000;198.5000000;198.8700000;2765390
GAZP;60;20190517;140000;198.8300000;199.5600000;198.7400000;199.1100000;2855750
GAZP;60;20190517;150000;199.1100000;199.2400000;198.2000000;198.7800000;2064540
GAZP;60;20190517;160000;198.7300000;198.8500000;198.3400000;198.6500000;2467140
GAZP;60;20190517;170000;198.6900000;200.9400000;198.2100000;200.3500000;5343640
GAZP;60;20190517;180000;200.3000000;200.3500000;199.2300000;199.9600000;5239300
GAZP;60;20190517;190000;199.9700000;200.2700000;198.8900000;198.8900000;4184000
GAZP;60;20190520;110000;200.2000000;200.4400000;198.3000000;198.6500000;4736690
GAZP;60;20190520;120000;198.6500000;199.7800000;198.5100000;199.3600000;2881100
GAZP;60;20190520;130000;199.3100000;200.0000000;199.1500000;199.5600000;1927320
GAZP;60;20190520;140000;199.5900000;199.6900000;199.1500000;199.6100000;2080480
GAZP;60;20190520;150000;199.6400000;200.0800000;199.5000000;199.7200000;2012490
GAZP;60;20190520;160000;199.6900000;199.8400000;199.4900000;199.6500000;1764130
GAZP;60;20190520;170000;199.7200000;199.9400000;199.5000000;199.6000000;2077530
GAZP;60;20190520;180000;199.6500000;200.0200000;199.5300000;199.7600000;3138710
GAZP;60;20190520;190000;199.7600000;201.4800000;199.6400000;200.8000000;6639000
GAZP;60;20190521;110000;201.4000000;201.4800000;199.0100000;200.4100000;8675380
GAZP;60;20190521;120000;200.3800000;204.6900000;199.9400000;204.5000000;12048650
GAZP;60;20190521;130000;204.5000000;207.3300000;204.1100000;206.1600000;15440490
GAZP;60;20190521;140000;206.2200000;208.7800000;206.0000000;207.6900000;10308240
GAZP;60;20190521;150000;207.7000000;209.4900000;207.0400000;209.1500000;8098410
GAZP;60;20190521;160000;209.0900000;210.9800000;209.0500000;210.4100000;9100700
GAZP;60;20190521;170000;210.3900000;210.9200000;207.5400000;207.9600000;10045050
GAZP;60;20190521;180000;207.9800000;209.3700000;207.8600000;208.4400000;5806020
GAZP;60;20190521;190000;208.4000000;208.5100000;206.0700000;207.8000000;11200260
GAZP;60;20190522;110000;208.9200000;210.1100000;206.5100000;206.6600000;8641770
GAZP;60;20190522;120000;206.7200000;207.7300000;206.3300000;206.8100000;3822640
GAZP;60;20190522;130000;206.7600000;208.5000000;206.6900000;207.7500000;4521920
GAZP;60;20190522;140000;207.7400000;207.7800000;206.7100000;207.0100000;2082330
